deviceType,failedLoginAttempts,vpnUsage,userRole,location,loginTime,risk_level
Known,1,No,User,High Risk Country,Unusual,BLOCK
Known,1,No,Guest,New City,Unusual,MFA_REQUIRED
Unknown,1,Yes,User,Normal,Day,ALLOW
Known,0,No,User,Normal,Day,ALLOW
Known,0,No,Guest,Normal,Day,ALLOW
Known,0,No,User,New City,Day,ALLOW
Unknown,0,No,User,New Country,Day,ALLOW
Known,0,No,User,Normal,Day,ALLOW
Known,1,No,User,New City,Night,ALLOW
Known,0,No,User,Normal,Unusual,ALLOW
Known,0,Yes,User,Normal,Night,ALLOW
Known,0,Yes,Guest,Normal,Day,ALLOW
Known,1,No,User,Normal,Night,ALLOW
Known,0,No,Admin,Normal,Day,ALLOW
Known,0,No,User,Normal,Day,ALLOW
Known,0,Yes,User,Normal,Day,ALLOW
Known,0,Yes,User,Normal,Night,ALLOW
Known,0,No,User,Normal,Day,ALLOW
Known,1,No,User,Normal,Night,ALLOW
Known,0,No,User,Normal,Day,ALLOW
Known,1,No,User,Normal,Day,ALLOW
Suspicious,1,Yes,User,Normal,Day,MFA_REQUIRED
Known,1,Yes,Guest,High Risk Country,Day,BLOCK
Known,0,Yes,User,Normal,Night,ALLOW
Known,1,No,User,Normal,Day,ALLOW
Suspicious,1,No,User,New City,Day,MFA_REQUIRED
Unknown,0,No,Guest,Normal,Day,ALLOW
Known,0,Yes,User,Normal,Day,ALLOW
Known,0,No,User,Normal,Day,ALLOW
Known,0,No,User,Normal,Day,ALLOW
Known,0,Yes,User,New Country,Unusual,MFA_REQUIRED
Unknown,1,No,User,Normal,Night,ALLOW
Known,0,Yes,User,Normal,Day,ALLOW
Known,1,Yes,User,Normal,Day,ALLOW
Unknown,0,No,Guest,Normal,Day,ALLOW
Unknown,0,No,User,Normal,Night,ALLOW
Known,0,No,User,Normal,Day,ALLOW
Known,0,No,User,New City,Day,ALLOW
Known,1,No,User,New City,Day,ALLOW
Unknown,0,No,User,Normal,Night,ALLOW
Unknown,0,No,User,New City,Day,ALLOW
Known,0,Yes,Guest,New Country,Night,MFA_REQUIRED
Known,0,No,User,High Risk Country,Day,MFA_REQUIRED
Unknown,0,No,User,Normal,Unusual,ALLOW
Known,0,No,User,High Risk Country,Night,MFA_REQUIRED
Known,0,No,User,Normal,Night,ALLOW
Unknown,1,No,User,New City,Day,ALLOW
Known,0,No,User,Normal,Day,ALLOW
Known,1,No,User,New Country,Unusual,MFA_REQUIRED
Unknown,1,No,Admin,Normal,Unusual,BLOCK
Unknown,0,No,User,New City,Day,ALLOW
Known,0,No,User,Normal,Day,ALLOW
Known,2,Yes,User,New Country,Day,BLOCK
Known,0,No,User,High Risk Country,Day,ALLOW
Known,0,No,User,Normal,Day,ALLOW
Known,1,Yes,User,Normal,Day,ALLOW
Unknown,1,No,User,Normal,Day,ALLOW
Known,1,No,User,Normal,Day,ALLOW
Known,0,No,Guest,High Risk Country,Unusual,MFA_REQUIRED
Known,1,No,User,Normal,Day,ALLOW
Suspicious,0,No,User,Normal,Day,ALLOW
Known,0,No,User,New City,Unusual,ALLOW
Known,2,No,User,Normal,Day,ALLOW
Known,0,Yes,User,Normal,Day,ALLOW
Known,0,No,User,Normal,Day,ALLOW
Known,1,No,Admin,Normal,Day,ALLOW
Known,0,No,User,Normal,Night,ALLOW
Known,0,Yes,User,Normal,Day,ALLOW
Known,0,No,User,Normal,Day,ALLOW
Known,1,Yes,User,New Country,Day,MFA_REQUIRED
Known,0,No,User,Normal,Day,ALLOW
Known,0,No,Guest,New Country,Day,ALLOW
Known,1,Yes,User,New City,Day,ALLOW
Known,0,No,Guest,Normal,Unusual,ALLOW
Known,0,No,User,New City,Day,ALLOW
Known,1,No,User,Normal,Day,ALLOW
Known,0,Yes,User,New Country,Day,MFA_REQUIRED
Known,0,No,User,High Risk Country,Day,MFA_REQUIRED
Known,0,No,User,Normal,Day,ALLOW
Suspicious,1,No,Guest,New City,Night,MFA_REQUIRED
Unknown,1,No,Guest,Normal,Day,ALLOW
Known,0,No,User,Normal,Day,ALLOW
Known,0,No,User,Normal,Day,ALLOW
Known,1,No,User,New City,Night,ALLOW
Known,1,No,Admin,Normal,Night,ALLOW
Known,0,Yes,User,Normal,Night,ALLOW
Known,2,Yes,User,New Country,Day,BLOCK
Known,1,No,User,New City,Day,ALLOW
Unknown,0,No,User,New Country,Night,ALLOW
Known,0,No,User,Normal,Day,ALLOW
Unknown,0,No,User,Normal,Night,ALLOW
Unknown,0,No,User,High Risk Country,Night,MFA_REQUIRED
Known,0,No,User,Normal,Day,ALLOW
Known,2,No,User,New City,Day,ALLOW
Known,1,No,User,Normal,Day,ALLOW
Known,0,No,User,New City,Day,ALLOW
Known,1,No,User,New City,Unusual,MFA_REQUIRED
Known,1,No,User,High Risk Country,Day,MFA_REQUIRED
Known,0,Yes,User,Normal,Day,ALLOW
Suspicious,0,No,User,New Country,Unusual,BLOCK
Known,2,Yes,User,Normal,Day,ALLOW
Suspicious,0,No,User,Normal,Day,MFA_REQUIRED
Known,0,No,Admin,Normal,Day,ALLOW
Unknown,1,No,User,Normal,Night,ALLOW
Known,0,No,User,Normal,Day,ALLOW
Known,1,No,Admin,High Risk Country,Day,BLOCK
Unknown,0,No,User,Normal,Unusual,ALLOW
Known,1,Yes,User,Normal,Day,ALLOW
Known,1,No,User,High Risk Country,Night,MFA_REQUIRED
Known,0,No,Guest,Normal,Day,ALLOW
Known,1,No,User,Normal,Day,ALLOW
Known,0,No,User,Normal,Night,ALLOW
Unknown,2,No,User,Normal,Day,ALLOW
Known,1,No,User,Normal,Day,ALLOW
Known,0,No,User,Normal,Night,ALLOW
Unknown,0,No,User,New City,Day,ALLOW
Known,0,No,User,New City,Day,ALLOW
Known,2,No,User,New Country,Day,MFA_REQUIRED
Unknown,0,No,User,Normal,Night,ALLOW
Known,0,Yes,User,Normal,Day,ALLOW
Known,0,No,User,Normal,Night,ALLOW
Known,0,No,User,Normal,Day,ALLOW
Known,0,No,User,New Country,Night,ALLOW
Known,0,No,User,Normal,Day,ALLOW
Known,0,No,User,High Risk Country,Day,MFA_REQUIRED
Unknown,0,No,User,Normal,Night,ALLOW
Known,0,No,User,Normal,Unusual,ALLOW
Known,0,No,User,Normal,Day,ALLOW
Suspicious,1,No,User,Normal,Night,MFA_REQUIRED
Known,0,No,Admin,New City,Day,ALLOW
Unknown,2,No,User,High Risk Country,Day,BLOCK
Known,0,No,Admin,Normal,Unusual,ALLOW
Unknown,0,No,User,Normal,Unusual,ALLOW
Known,2,No,User,Normal,Day,ALLOW
Known,0,Yes,Guest,Normal,Day,ALLOW
Known,0,No,User,Normal,Day,ALLOW
Known,0,No,Guest,New City,Day,ALLOW
Unknown,1,No,User,New City,Day,MFA_REQUIRED
Known,1,No,User,Normal,Day,ALLOW
Known,1,No,User,Normal,Day,ALLOW
Unknown,0,No,User,New Country,Day,ALLOW
Known,0,No,Guest,Normal,Unusual,ALLOW
Known,1,Yes,User,Normal,Day,ALLOW
Known,0,No,User,Normal,Day,ALLOW
Known,1,No,Guest,Normal,Day,ALLOW
Known,3,No,Guest,Normal,Unusual,MFA_REQUIRED
Suspicious,0,Yes,User,Normal,Day,ALLOW
Known,1,No,User,Normal,Day,ALLOW
Known,0,No,User,New City,Unusual,ALLOW
Unknown,1,No,User,Normal,Day,ALLOW
Known,2,No,Guest,Normal,Day,ALLOW
Known,0,No,Admin,New City,Day,ALLOW
Known,0,Yes,User,New City,Unusual,ALLOW
Known,0,Yes,User,Normal,Day,ALLOW
Known,0,No,User,High Risk Country,Night,MFA_REQUIRED
Known,0,No,User,Normal,Day,ALLOW
Known,0,No,User,New City,Day,ALLOW
Unknown,0,Yes,User,High Risk Country,Day,BLOCK
Known,0,Yes,User,New City,Unusual,ALLOW
Suspicious,1,Yes,User,New City,Day,MFA_REQUIRED
Known,0,No,User,High Risk Country,Day,MFA_REQUIRED
Known,1,No,User,Normal,Day,ALLOW
Known,0,Yes,User,Normal,Day,ALLOW
Suspicious,1,No,User,New City,Day,MFA_REQUIRED
Known,0,Yes,User,New Country,Night,MFA_REQUIRED
Known,2,No,User,New City,Day,ALLOW
Unknown,1,No,User,High Risk Country,Day,BLOCK
Known,1,No,User,Normal,Day,ALLOW
Unknown,0,No,User,New Country,Day,ALLOW
Known,0,No,User,High Risk Country,Day,MFA_REQUIRED
Unknown,0,No,User,Normal,Day,ALLOW
Suspicious,0,No,User,High Risk Country,Day,BLOCK
Known,2,No,User,Normal,Day,ALLOW
Known,0,No,User,High Risk Country,Day,ALLOW
Known,0,Yes,User,High Risk Country,Night,BLOCK
Suspicious,0,No,User,Normal,Day,MFA_REQUIRED
Known,0,No,User,Normal,Day,ALLOW
Known,1,No,User,Normal,Unusual,ALLOW
Known,1,No,User,Normal,Night,ALLOW
Known,0,No,User,Normal,Unusual,ALLOW
Known,1,No,Guest,Normal,Day,ALLOW
Known,0,No,User,Normal,Day,ALLOW
Known,0,No,User,Normal,Day,ALLOW
Known,2,No,User,High Risk Country,Day,BLOCK
Known,3,No,User,Normal,Day,ALLOW
Known,0,No,User,New City,Day,ALLOW
Unknown,0,No,User,Normal,Day,ALLOW
Unknown,1,No,Admin,New City,Day,MFA_REQUIRED
Known,0,No,User,High Risk Country,Day,MFA_REQUIRED
Known,1,No,Admin,Normal,Night,ALLOW
Known,2,No,User,Normal,Day,ALLOW
Known,1,No,User,New City,Day,ALLOW
Known,0,No,User,Normal,Night,ALLOW
Known,2,No,User,Normal,Day,ALLOW
Known,0,No,User,Normal,Unusual,ALLOW
Suspicious,0,Yes,User,Normal,Day,MFA_REQUIRED
Known,0,Yes,User,New City,Night,ALLOW
Known,0,No,User,High Risk Country,Day,ALLOW
Known,1,No,User,Normal,Day,ALLOW
Suspicious,1,Yes,User,Normal,Night,MFA_REQUIRED
Known,0,No,User,Normal,Unusual,ALLOW
Known,1,No,User,High Risk Country,Night,MFA_REQUIRED
Known,0,No,User,High Risk Country,Night,ALLOW
Known,0,No,User,Normal,Day,ALLOW
Known,1,No,User,High Risk Country,Night,MFA_REQUIRED
Known,0,No,User,High Risk Country,Day,ALLOW
Known,0,No,User,Normal,Day,ALLOW
Known,1,Yes,Guest,New City,Day,ALLOW
Known,0,No,User,Normal,Day,ALLOW
Unknown,0,No,Guest,Normal,Day,ALLOW
Known,1,No,User,Normal,Day,ALLOW
Unknown,0,Yes,Guest,Normal,Day,ALLOW
Known,0,Yes,User,High Risk Country,Day,MFA_REQUIRED
Known,0,No,User,New Country,Day,ALLOW
Known,1,No,User,Normal,Day,ALLOW
Known,2,No,Guest,Normal,Day,ALLOW
Unknown,0,Yes,Admin,Normal,Day,ALLOW
Suspicious,1,No,User,Normal,Day,MFA_REQUIRED
Known,1,No,User,New City,Day,ALLOW
Known,1,Yes,User,Normal,Day,ALLOW
Known,2,No,User,Normal,Day,ALLOW
Known,1,No,User,Normal,Day,ALLOW
Known,0,Yes,User,Normal,Unusual,ALLOW
Known,2,No,User,New City,Day,ALLOW
Suspicious,0,No,Admin,Normal,Night,ALLOW
Known,0,Yes,User,New City,Day,ALLOW
Suspicious,0,No,User,New City,Day,MFA_REQUIRED
Unknown,0,No,User,Normal,Day,ALLOW
Unknown,0,No,User,High Risk Country,Day,MFA_REQUIRED
Known,0,No,User,Normal,Night,ALLOW
Known,0,No,User,High Risk Country,Day,MFA_REQUIRED
Known,0,No,Guest,Normal,Day,ALLOW
Known,0,No,User,Normal,Day,ALLOW
Known,0,No,User,Normal,Day,ALLOW
Suspicious,1,Yes,User,Normal,Night,MFA_REQUIRED
Unknown,2,No,User,High Risk Country,Night,BLOCK
Unknown,0,No,User,Normal,Day,ALLOW
Unknown,0,No,User,New City,Night,ALLOW
Known,0,No,User,New Country,Day,ALLOW
Known,0,No,User,Normal,Day,ALLOW
Known,0,No,User,High Risk Country,Night,MFA_REQUIRED
Known,1,No,User,Normal,Day,ALLOW
Unknown,1,No,User,High Risk Country,Night,BLOCK
Known,1,Yes,User,New City,Day,ALLOW
Known,0,No,User,New City,Day,ALLOW
Known,0,No,User,Normal,Night,ALLOW
Known,1,No,User,New City,Day,ALLOW
Known,1,No,User,Normal,Day,ALLOW
Unknown,1,No,User,Normal,Day,ALLOW
Known,2,Yes,User,Normal,Day,ALLOW
Known,0,No,Admin,Normal,Day,ALLOW
Known,2,No,User,Normal,Day,ALLOW
Known,1,No,User,High Risk Country,Day,MFA_REQUIRED
Known,0,No,User,New City,Unusual,ALLOW
Suspicious,0,Yes,Guest,New City,Day,MFA_REQUIRED
Known,0,No,User,New Country,Day,ALLOW
Known,1,No,Admin,New City,Day,MFA_REQUIRED
Known,0,No,User,Normal,Day,ALLOW
Known,0,No,User,New City,Day,ALLOW
Known,0,No,User,High Risk Country,Day,ALLOW
Known,2,No,Admin,Normal,Day,ALLOW
Known,1,Yes,Admin,New City,Day,ALLOW
Unknown,2,No,User,Normal,Day,MFA_REQUIRED
Known,1,Yes,User,Normal,Night,ALLOW
Known,0,No,User,High Risk Country,Day,ALLOW
Known,0,No,User,Normal,Day,ALLOW
Known,1,No,Admin,Normal,Day,ALLOW
Unknown,2,No,User,High Risk Country,Night,BLOCK
Suspicious,0,No,User,New City,Day,MFA_REQUIRED
Known,1,No,User,Normal,Night,ALLOW
Unknown,0,No,User,Normal,Unusual,ALLOW
Unknown,2,No,User,High Risk Country,Unusual,BLOCK
Suspicious,1,No,Guest,Normal,Day,MFA_REQUIRED
Known,0,No,Guest,Normal,Day,ALLOW
Known,2,Yes,User,Normal,Night,ALLOW
Known,0,No,User,High Risk Country,Day,ALLOW
Unknown,1,No,User,New City,Day,ALLOW
Known,0,No,User,Normal,Day,ALLOW
Known,0,No,Guest,New City,Night,ALLOW
Known,0,No,User,High Risk Country,Day,ALLOW
Known,0,No,User,High Risk Country,Night,MFA_REQUIRED
Known,0,Yes,Guest,New City,Night,ALLOW
Unknown,0,No,User,New Country,Day,ALLOW
Known,0,No,User,Normal,Day,ALLOW
Unknown,0,No,User,Normal,Day,ALLOW
Known,0,No,Guest,New Country,Day,ALLOW
Known,0,No,User,New City,Day,ALLOW
Known,1,No,Guest,High Risk Country,Day,MFA_REQUIRED
Known,0,No,Guest,Normal,Night,ALLOW
Known,1,No,User,New City,Day,ALLOW
Known,1,Yes,User,New City,Day,ALLOW
Known,0,No,User,New City,Day,ALLOW
Unknown,1,No,Admin,Normal,Night,ALLOW
Known,0,No,User,New Country,Day,ALLOW
Known,0,Yes,Guest,Normal,Day,ALLOW
Known,1,No,User,New City,Day,ALLOW
Known,0,No,Admin,New City,Day,ALLOW
Known,0,No,User,Normal,Day,ALLOW
Known,2,No,User,New City,Day,ALLOW
Known,0,Yes,User,High Risk Country,Day,MFA_REQUIRED
Known,0,No,User,Normal,Night,ALLOW
Known,0,No,User,New City,Unusual,ALLOW
Unknown,1,No,User,Normal,Day,ALLOW
Known,1,No,User,New Country,Day,ALLOW
Known,1,No,User,Normal,Night,ALLOW
Unknown,0,No,User,Normal,Day,ALLOW
Known,0,Yes,User,New City,Night,ALLOW
Known,0,No,Guest,Normal,Day,ALLOW
Known,1,No,User,Normal,Day,ALLOW
Known,1,No,User,High Risk Country,Day,MFA_REQUIRED
Known,0,No,Admin,New City,Day,ALLOW
Known,0,No,Guest,New City,Night,ALLOW
Suspicious,0,No,Guest,New City,Day,MFA_REQUIRED
Unknown,0,Yes,Admin,New Country,Day,BLOCK
Known,0,No,User,Normal,Day,ALLOW
Known,0,No,User,Normal,Day,ALLOW
Known,2,No,User,Normal,Day,ALLOW
Known,0,No,User,Normal,Unusual,ALLOW
Known,0,Yes,User,Normal,Night,ALLOW
Known,0,No,User,New City,Night,ALLOW
Known,1,No,User,Normal,Day,ALLOW
Known,0,No,User,New City,Day,ALLOW
Suspicious,0,No,User,New City,Day,MFA_REQUIRED
Known,0,No,User,Normal,Day,ALLOW
Suspicious,1,Yes,Admin,Normal,Night,MFA_REQUIRED
Suspicious,0,Yes,User,New Country,Night,BLOCK
Known,1,Yes,Guest,New City,Day,ALLOW
Unknown,0,Yes,User,New Country,Night,BLOCK
Known,0,No,User,Normal,Day,ALLOW
Known,2,No,User,High Risk Country,Day,MFA_REQUIRED
Known,1,No,User,New City,Day,ALLOW
Known,0,Yes,User,Normal,Day,ALLOW
Known,0,No,Admin,Normal,Night,ALLOW
Known,1,No,User,New City,Day,ALLOW
Known,1,No,Admin,Normal,Night,ALLOW
Known,1,No,User,High Risk Country,Day,MFA_REQUIRED
Known,0,No,User,New City,Unusual,ALLOW
Known,0,Yes,User,Normal,Night,ALLOW
Known,0,No,User,High Risk Country,Night,MFA_REQUIRED
Known,1,Yes,User,Normal,Day,ALLOW
Known,2,No,User,Normal,Day,ALLOW
Known,0,No,Guest,New City,Day,ALLOW
Unknown,0,No,User,New City,Day,ALLOW
Known,0,No,Admin,Normal,Day,ALLOW
Known,0,Yes,User,Normal,Day,ALLOW
Known,0,No,User,Normal,Day,ALLOW
Unknown,0,No,User,Normal,Day,ALLOW
Known,1,No,User,New City,Day,ALLOW
Known,0,No,User,New City,Day,ALLOW
Known,0,No,User,New City,Night,ALLOW
Known,2,Yes,User,Normal,Day,ALLOW
Known,1,No,User,Normal,Day,ALLOW
Known,1,No,User,Normal,Day,ALLOW
Suspicious,1,No,User,Normal,Day,MFA_REQUIRED
Known,1,No,Admin,New City,Day,MFA_REQUIRED
Known,2,No,User,Normal,Day,ALLOW
Unknown,1,Yes,User,Normal,Unusual,MFA_REQUIRED
Known,0,No,User,Normal,Night,ALLOW
Unknown,0,Yes,User,Normal,Day,ALLOW
Known,1,No,User,Normal,Night,ALLOW
Unknown,0,Yes,User,Normal,Unusual,ALLOW
Known,2,No,User,Normal,Day,ALLOW
Unknown,0,No,Admin,Normal,Unusual,MFA_REQUIRED
Unknown,0,No,User,Normal,Unusual,ALLOW
Known,0,Yes,User,Normal,Night,ALLOW
Known,1,No,User,New City,Day,ALLOW
Known,0,Yes,User,Normal,Day,ALLOW
Suspicious,1,No,User,New City,Day,MFA_REQUIRED
Known,0,No,Admin,Normal,Unusual,ALLOW
Known,0,No,User,Normal,Day,ALLOW
Known,0,No,User,Normal,Night,ALLOW
Known,0,No,User,Normal,Day,ALLOW
Known,0,No,User,Normal,Day,ALLOW
Suspicious,1,No,User,Normal,Unusual,MFA_REQUIRED
Known,0,Yes,User,Normal,Night,ALLOW
Unknown,1,No,Admin,New City,Day,MFA_REQUIRED
Known,2,No,User,Normal,Unusual,MFA_REQUIRED
Known,0,No,User,Normal,Night,ALLOW
Known,1,Yes,User,New Country,Unusual,BLOCK
Known,0,No,Guest,Normal,Day,ALLOW
Suspicious,0,Yes,User,Normal,Unusual,MFA_REQUIRED
Unknown,0,No,User,Normal,Night,ALLOW
Known,0,No,User,Normal,Unusual,ALLOW
Known,0,No,User,Normal,Day,ALLOW
Known,0,No,User,High Risk Country,Day,MFA_REQUIRED
Suspicious,2,Yes,User,New Country,Night,BLOCK
Unknown,1,No,User,Normal,Day,ALLOW
Unknown,1,No,Admin,Normal,Night,ALLOW
Known,0,No,User,Normal,Unusual,ALLOW
Known,0,No,User,Normal,Night,ALLOW
Known,0,No,User,New City,Day,ALLOW
Known,0,No,User,Normal,Day,ALLOW
Known,0,No,User,Normal,Day,ALLOW
Known,0,No,User,Normal,Day,ALLOW
Known,0,No,User,High Risk Country,Day,MFA_REQUIRED
Unknown,0,Yes,Guest,Normal,Day,ALLOW
Unknown,1,No,Guest,New Country,Day,MFA_REQUIRED
Known,0,Yes,User,New City,Night,ALLOW
Known,1,No,User,Normal,Day,ALLOW
Known,0,No,User,Normal,Day,ALLOW
Unknown,1,No,User,Normal,Day,ALLOW
Unknown,0,No,User,Normal,Day,ALLOW
Unknown,0,No,User,New City,Day,ALLOW
Unknown,1,Yes,User,New City,Day,ALLOW
Known,1,No,User,Normal,Day,ALLOW
Known,1,No,User,Normal,Day,ALLOW
Known,0,No,User,New City,Unusual,ALLOW
Known,0,No,User,High Risk Country,Day,ALLOW
Unknown,1,No,Admin,High Risk Country,Unusual,BLOCK
Known,1,Yes,User,Normal,Night,ALLOW
Known,0,No,User,Normal,Night,ALLOW
Known,2,No,Guest,Normal,Day,ALLOW
Suspicious,0,No,User,Normal,Day,ALLOW
Known,0,No,Guest,New City,Night,ALLOW
Known,0,No,User,Normal,Day,ALLOW
Known,0,Yes,Guest,New City,Day,ALLOW
Known,0,No,User,New Country,Day,ALLOW
Known,1,No,User,Normal,Day,ALLOW
Unknown,1,No,Admin,High Risk Country,Day,BLOCK
Known,0,No,Admin,Normal,Unusual,ALLOW
Unknown,1,No,User,Normal,Day,ALLOW
Known,0,No,User,New Country,Day,ALLOW
Known,0,No,Guest,High Risk Country,Day,MFA_REQUIRED
Suspicious,0,No,User,New City,Day,MFA_REQUIRED
Known,0,No,User,New Country,Day,ALLOW
Known,0,No,User,New Country,Day,ALLOW
Unknown,1,Yes,User,Normal,Day,ALLOW
Known,0,No,User,New City,Day,ALLOW
Unknown,0,No,Admin,Normal,Day,ALLOW
Known,0,No,User,Normal,Day,ALLOW
Known,0,No,Guest,New City,Day,ALLOW
Known,0,Yes,User,New City,Night,ALLOW
Unknown,0,No,User,Normal,Day,ALLOW
Known,1,Yes,User,Normal,Day,ALLOW
Unknown,1,No,User,High Risk Country,Night,BLOCK
Suspicious,0,No,User,Normal,Day,ALLOW
Known,1,No,User,High Risk Country,Day,MFA_REQUIRED
Known,0,No,User,New Country,Night,ALLOW
Known,2,No,User,New City,Day,ALLOW
Known,0,Yes,User,Normal,Night,ALLOW
Known,2,No,Guest,Normal,Day,ALLOW
Known,2,No,User,Normal,Night,ALLOW
Suspicious,0,No,Admin,New City,Day,MFA_REQUIRED
Suspicious,0,No,Admin,Normal,Night,ALLOW
Unknown,0,No,User,New Country,Night,MFA_REQUIRED
Unknown,0,No,User,New City,Day,ALLOW
Known,0,No,User,Normal,Day,ALLOW
Known,0,Yes,User,New City,Day,ALLOW
Unknown,1,No,Admin,Normal,Day,ALLOW
Known,0,No,User,Normal,Day,ALLOW
Suspicious,1,Yes,User,Normal,Day,MFA_REQUIRED
Known,2,Yes,User,Normal,Unusual,MFA_REQUIRED
Known,0,No,User,New Country,Night,ALLOW
Unknown,0,No,User,New City,Day,ALLOW
Suspicious,2,No,User,Normal,Night,BLOCK
Known,0,Yes,User,New City,Day,ALLOW
Unknown,0,Yes,User,New City,Day,ALLOW
Known,0,No,Guest,Normal,Day,ALLOW
Known,1,No,Admin,New Country,Unusual,BLOCK
Unknown,3,No,User,Normal,Day,MFA_REQUIRED
Known,0,No,User,New Country,Day,ALLOW
Known,0,Yes,User,New City,Day,ALLOW
Known,1,No,User,Normal,Day,ALLOW
Known,0,No,User,Normal,Day,ALLOW
Known,1,No,User,New Country,Night,MFA_REQUIRED
Known,0,No,User,New Country,Day,ALLOW
Known,0,No,User,Normal,Day,ALLOW
Suspicious,0,Yes,User,Normal,Night,MFA_REQUIRED
Known,0,No,User,Normal,Day,ALLOW
Unknown,0,No,User,Normal,Night,ALLOW
Known,2,No,User,Normal,Night,ALLOW
Known,1,No,User,Normal,Night,ALLOW
Known,0,No,User,Normal,Night,ALLOW
Known,1,Yes,User,Normal,Night,ALLOW
Known,1,No,Admin,New Country,Day,MFA_REQUIRED
Known,1,No,User,Normal,Unusual,ALLOW
Known,1,No,User,Normal,Day,ALLOW
Known,1,No,User,Normal,Unusual,ALLOW
Known,0,No,Guest,New Country,Day,ALLOW
Known,0,No,User,Normal,Day,ALLOW
Known,0,No,User,Normal,Night,ALLOW
Suspicious,1,No,User,New Country,Day,BLOCK
Known,1,No,User,New Country,Day,ALLOW
Known,0,No,User,New City,Day,ALLOW
Known,0,No,User,Normal,Day,ALLOW
Suspicious,1,No,User,Normal,Day,MFA_REQUIRED
Known,0,No,User,Normal,Day,ALLOW
Unknown,3,No,User,Normal,Day,MFA_REQUIRED
Known,0,Yes,User,Normal,Night,ALLOW
Suspicious,0,No,User,Normal,Night,ALLOW
Unknown,0,No,User,Normal,Day,ALLOW
Unknown,0,No,User,New City,Unusual,MFA_REQUIRED
Known,0,Yes,User,New City,Day,ALLOW
Known,0,No,User,Normal,Day,ALLOW
Known,3,Yes,User,High Risk Country,Unusual,BLOCK
Known,0,No,Admin,New City,Day,ALLOW
Unknown,0,Yes,User,Normal,Unusual,ALLOW
Known,0,No,User,Normal,Day,ALLOW
Known,0,Yes,User,Normal,Night,ALLOW
Known,0,No,User,New City,Day,ALLOW
Known,0,No,User,Normal,Night,ALLOW
Known,1,No,User,Normal,Day,ALLOW
Unknown,0,Yes,User,Normal,Day,ALLOW
Known,0,Yes,User,New City,Day,ALLOW
Known,1,No,User,Normal,Day,ALLOW
Known,0,No,Guest,Normal,Day,ALLOW
Known,0,No,Admin,Normal,Unusual,MFA_REQUIRED
Known,0,Yes,User,Normal,Night,ALLOW
Known,0,No,User,Normal,Night,ALLOW
Unknown,1,No,User,Normal,Night,ALLOW
Unknown,0,No,User,Normal,Night,ALLOW
Unknown,0,No,Guest,Normal,Night,ALLOW
Known,1,No,User,Normal,Unusual,ALLOW
Suspicious,0,No,User,Normal,Unusual,MFA_REQUIRED
Unknown,0,No,User,Normal,Day,ALLOW
Suspicious,0,No,User,Normal,Day,MFA_REQUIRED
Known,0,No,User,Normal,Day,ALLOW
Suspicious,0,Yes,User,Normal,Day,MFA_REQUIRED
Unknown,2,No,User,Normal,Day,ALLOW
Unknown,0,No,User,New Country,Night,MFA_REQUIRED
Known,0,No,User,New Country,Day,ALLOW
Unknown,1,No,User,Normal,Day,ALLOW
Suspicious,1,Yes,User,Normal,Unusual,BLOCK
Known,3,No,User,High Risk Country,Day,BLOCK
Known,0,No,User,Normal,Day,ALLOW
Suspicious,0,No,Admin,New Country,Day,BLOCK
Known,0,Yes,User,New Country,Day,MFA_REQUIRED
Known,1,No,User,High Risk Country,Day,MFA_REQUIRED
Known,1,No,Admin,Normal,Day,ALLOW
Suspicious,1,No,User,Normal,Day,MFA_REQUIRED
Known,0,No,User,Normal,Night,ALLOW
Known,0,No,User,Normal,Night,ALLOW
Known,1,No,Admin,Normal,Day,ALLOW
Unknown,0,No,User,Normal,Unusual,ALLOW
Known,0,No,User,Normal,Day,ALLOW
Suspicious,1,No,User,New City,Day,MFA_REQUIRED
Suspicious,1,No,User,Normal,Day,MFA_REQUIRED
Known,0,No,User,New City,Night,ALLOW
Known,1,No,Admin,New City,Day,MFA_REQUIRED
Known,1,Yes,User,Normal,Day,ALLOW
Known,1,No,User,Normal,Day,ALLOW
Known,1,No,User,New Country,Night,MFA_REQUIRED
Suspicious,0,No,Guest,Normal,Day,MFA_REQUIRED
Unknown,1,No,User,New Country,Unusual,BLOCK
Known,0,No,User,New Country,Day,ALLOW
Known,0,No,Guest,Normal,Day,ALLOW
Known,0,Yes,Admin,New City,Day,ALLOW
Known,1,No,User,Normal,Day,ALLOW
Known,0,Yes,User,New Country,Day,MFA_REQUIRED
Unknown,0,No,User,Normal,Day,ALLOW
Suspicious,0,No,Guest,Normal,Day,MFA_REQUIRED
Known,0,No,Admin,Normal,Day,ALLOW
Unknown,1,No,User,High Risk Country,Day,BLOCK
Known,1,Yes,User,High Risk Country,Day,BLOCK
Unknown,0,No,User,New City,Day,ALLOW
Known,0,No,User,Normal,Day,ALLOW
Known,1,No,User,Normal,Day,ALLOW
Suspicious,0,No,User,Normal,Night,MFA_REQUIRED
Known,0,No,User,New City,Day,ALLOW
Unknown,2,No,User,New City,Day,MFA_REQUIRED
Known,1,Yes,User,Normal,Day,ALLOW
Known,0,No,User,New Country,Unusual,ALLOW
Known,0,Yes,User,Normal,Day,ALLOW
Known,0,Yes,User,New Country,Night,MFA_REQUIRED
Known,1,Yes,User,Normal,Day,ALLOW
Known,0,No,User,Normal,Day,ALLOW
